nome,anno,public_pos,geoprivacy,coordinate,layer,path,x,y
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,384917.715,4994801.887
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,474917.079,4404806.827
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,494916.896,4404806.828
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,494916.895,4474806.193
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,494916.895,4494806.014
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,464917.160,4504805.923
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,484916.982,4524805.747
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,414917.518,4864802.897
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,434917.359,4874802.823
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,454917.200,4894802.669
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,414917.500,4944802.275
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,424917.424,4944802.277
Cerambyx cerdo,,,,,ck_giusto,C:/Users/cosmin/Desktop/qgis/INVERTEBRATI/mappa_distribuzione/ck_giusto.shp,454917.199,4904802.591
